customer_state,order_month,total_orders,avg_delivery_days,avg_freight_cost,avg_order_value,percent_late_deliveries
RR,2018-04-01,2,43.0,29.68,356.325,0.5
SP,2018-02-01,2632,11.374620060790274,16.38343844984791,116.95636398176232,0.07332826747720365
MG,2018-02-01,790,15.677215189873417,21.985569620253198,135.12181012658203,0.08354430379746836
RN,2018-05-01,22,17.363636363636363,34.81090909090909,192.40999999999997,0.045454545454545456
AL,2017-04-01,21,31.047619047619047,28.609999999999996,217.5771428571428,0.38095238095238093
AL,2018-01-01,36,27.666666666666668,33.58722222222222,139.14666666666665,0.3333333333333333
RN,2018-02-01,23,20.869565217391305,40.267391304347825,139.3421739130435,0.08695652173913043
PA,2018-08-01,43,13.906976744186046,47.37488372093023,207.64604651162787,0.0
ES,2017-04-01,45,13.577777777777778,21.364444444444437,120.45111111111108,0.044444444444444446
RN,2017-01-01,5,10.2,28.651999999999997,224.974,0.0
PB,2018-07-01,51,14.72549019607843,93.16372549019609,297.81725490196067,0.0392156862745098
MG,2017-10-01,542,10.282287822878228,22.76579335793361,148.9116420664205,0.00922509225092251
SC,2018-03-01,247,17.14574898785425,25.86696356275301,146.9650202429151,0.19433198380566802
RS,2017-11-01,409,18.889975550122248,23.95955990220053,140.49699266503688,0.1271393643031785
CE,2017-03-01,26,29.03846153846154,45.72538461538461,229.61461538461532,0.3076923076923077
MT,2017-03-01,16,29.0625,34.091249999999995,134.818125,0.25
MS,2017-12-01,34,19.676470588235293,22.779411764705884,153.86617647058821,0.058823529411764705
PE,2017-03-01,36,17.27777777777778,37.13138888888889,143.96249999999995,0.027777777777777776
PI,2017-01-01,7,15.142857142857142,29.018571428571423,178.69285714285715,0.0
PR,2018-07-01,314,8.57643312101911,27.441273885350306,143.6590764331214,0.01910828025477707
AP,2018-08-01,2,16.5,31.700000000000003,97.0,0.0
AM,2017-12-01,6,36.666666666666664,24.026666666666667,171.57666666666668,0.0
SE,2018-05-01,8,19.625,29.67625,135.3975,0.25
AC,2017-08-01,4,17.75,31.975,159.48250000000002,0.0
SC,2017-08-01,152,13.019736842105264,24.3911184210526,143.40934210526316,0.02631578947368421
PI,2017-04-01,11,13.272727272727273,28.24090909090909,194.36636363636362,0.0
MS,2017-11-01,44,16.068181818181817,25.71772727272727,132.97454545454545,0.09090909090909091
SE,2017-12-01,20,24.4,45.207,157.389,0.15
AL,2017-08-01,17,24.88235294117647,39.35588235294117,522.8982352941175,0.17647058823529413
RO,2018-03-01,13,26.23076923076923,44.53538461538461,209.76076923076923,0.23076923076923078
BA,2017-09-01,167,18.994011976047904,25.882754491017966,141.6700598802396,0.16766467065868262
MT,2017-09-01,34,15.941176470588236,38.41794117647058,201.7944117647059,0.058823529411764705
MG,2017-02-01,241,12.356846473029046,22.227717842323674,118.51170124481355,0.008298755186721992
RS,2017-02-01,100,14.89,23.877099999999995,150.03739999999985,0.03
AP,2017-05-01,4,18.5,41.74,305.22249999999997,0.0
ES,2017-06-01,79,16.11392405063291,25.28430379746835,130.95987341772144,0.06329113924050633
RJ,2017-04-01,325,14.347692307692308,21.42000000000001,175.24796923076957,0.06461538461538462
GO,2017-01-01,18,12.88888888888889,23.933333333333334,234.86055555555555,0.0
RO,2017-09-01,16,17.1875,46.268125,262.374375,0.0
AC,2018-03-01,2,36.0,33.435,48.900000000000006,0.0
RJ,2017-08-01,537,12.2756052141527,22.2439292364991,142.1495158286779,0.0297951582867784
PB,2016-10-01,1,37.0,24.84,49.9,0.0
ES,2017-09-01,93,12.688172043010752,22.346666666666675,120.81666666666656,0.043010752688172046
PE,2017-07-01,70,23.52857142857143,33.213857142857165,131.40599999999992,0.18571428571428572
CE,2018-06-01,72,15.152777777777779,48.41736111111109,225.56138888888876,0.0
MT,2018-02-01,67,22.17910447761194,24.99388059701492,121.98044776119394,0.11940298507462686
PA,2018-05-01,40,25.375,42.62275,186.39099999999996,0.125
PI,2017-07-01,20,14.9,36.837999999999994,110.10050000000001,0.05
BA,2018-03-01,235,23.29787234042553,35.10182978723406,148.79119148936195,0.3148936170212766
MT,2018-05-01,66,16.242424242424242,38.30363636363635,185.78560606060594,0.030303030303030304
RR,2017-05-01,2,28.5,42.43,116.555,0.0
MS,2018-05-01,44,13.5,25.833409090909097,225.52409090909077,0.09090909090909091
PR,2017-03-01,121,11.702479338842975,19.316528925619824,120.982644628099,0.04132231404958678
TO,2018-07-01,22,14.5,53.70090909090911,118.80318181818183,0.045454545454545456
RN,2017-08-01,20,19.45,36.397,127.27050000000001,0.1
RN,2017-04-01,10,19.2,32.138,124.38699999999999,0.0
SE,2016-10-01,3,30.666666666666668,20.156666666666666,95.15000000000002,0.0
PR,2017-04-01,112,13.732142857142858,21.730625,138.86705357142844,0.026785714285714284
PR,2018-08-01,327,8.021406727828746,24.634862385321096,117.7382262996945,0.03058103975535168
PR,2017-12-01,260,14.73076923076923,19.999500000000026,114.97900000000028,0.05
TO,2018-05-01,16,19.0,35.89625,171.24937500000004,0.25
SC,2017-11-01,288,17.54513888888889,22.211180555555575,131.49618055555572,0.14930555555555555
PR,2017-10-01,198,12.691919191919192,24.06661616161615,164.84550505050535,0.030303030303030304
BA,2017-03-01,87,20.482758620689655,32.71183908045979,177.7967816091953,0.08045977011494253
RN,2017-10-01,23,18.26086956521739,49.9804347826087,182.71608695652176,0.043478260869565216
RJ,2017-01-01,91,13.978021978021978,21.47945054945054,132.39670329670318,0.03296703296703297
PE,2017-04-01,36,23.0,27.05027777777778,101.28972222222221,0.08333333333333333
PB,2017-03-01,16,17.625,34.27625,274.249375,0.0625
GO,2018-02-01,146,20.027397260273972,24.363561643835606,121.24815068493147,0.15753424657534246
MG,2017-08-01,459,10.85838779956427,22.408758169934675,127.90612200435758,0.023965141612200435
SP,2016-09-01,1,55.0,8.49,134.97,1.0
SC,2018-02-01,254,21.708661417322833,22.854881889763806,125.53641732283505,0.24015748031496062
PR,2018-02-01,335,14.713432835820896,20.43731343283582,133.58838805970177,0.08955223880597014
AM,2018-05-01,9,26.333333333333332,41.11,201.31111111111113,0.0
ES,2018-05-01,132,15.909090909090908,25.642727272727274,141.30939393939383,0.1590909090909091
AL,2018-03-01,27,24.25925925925926,39.19851851851851,237.29444444444445,0.3333333333333333
CE,2018-05-01,72,21.11111111111111,35.621944444444445,165.7022222222221,0.1111111111111111
MG,2018-08-01,700,7.482857142857143,26.087814285714266,136.1548428571429,0.017142857142857144
RN,2018-07-01,29,13.03448275862069,43.59655172413794,290.1872413793103,0.0
RJ,2018-03-01,864,24.212962962962962,25.606516203703663,130.8597685185183,0.3449074074074074
ES,2018-07-01,122,12.21311475409836,28.836885245901637,245.91278688524613,0.07377049180327869
RJ,2016-10-01,40,19.2,20.666249999999998,205.43199999999993,0.0
PB,2017-09-01,25,26.48,51.795199999999994,199.57559999999998,0.28
GO,2017-06-01,73,15.602739726027398,24.48465753424657,120.51835616438346,0.0410958904109589
TO,2017-07-01,1,18.0,29.08,97.5,0.0
MA,2017-05-01,31,16.516129032258064,32.273225806451606,105.61870967741936,0.0
MA,2017-06-01,15,16.466666666666665,35.77066666666666,112.50000000000001,0.0
MS,2018-01-01,70,15.285714285714286,27.558857142857125,144.2965714285713,0.04285714285714286
AM,2018-02-01,8,33.0,57.245,253.5775,0.125
AL,2018-08-01,16,14.125,41.276875000000004,140.83,0.0
TO,2017-10-01,13,13.615384615384615,33.01692307692308,216.0653846153846,0.0
PR,2017-01-01,62,11.870967741935484,15.086612903225818,81.44564516129029,0.03225806451612903
AL,2017-03-01,10,23.7,24.671,117.479,0.2
DF,2017-01-01,13,21.692307692307693,21.393846153846148,140.51000000000005,0.15384615384615385
CE,2018-01-01,77,24.649350649350648,34.9753246753247,156.6774025974025,0.11688311688311688
RJ,2017-09-01,591,12.774957698815566,23.07761421319804,157.459018612521,0.050761421319796954
SP,2017-04-01,873,12.148911798396334,17.50695303550965,141.4040206185563,0.06987399770904926
RS,2017-01-01,52,13.153846153846153,23.76846153846153,228.92269230769213,0.019230769230769232
PI,2017-09-01,22,16.545454545454547,32.99727272727273,129.46499999999997,0.045454545454545456
RO,2017-10-01,13,16.615384615384617,52.43999999999999,123.84384615384616,0.0
MA,2018-02-01,55,29.327272727272728,46.94745454545455,179.59654545454538,0.32727272727272727
AM,2018-01-01,12,31.083333333333332,42.3175,243.80416666666665,0.0
CE,2018-02-01,84,30.55952380952381,33.30690476190478,117.51523809523803,0.39285714285714285
DF,2017-06-01,69,13.855072463768115,21.659275362318837,118.92550724637668,0.014492753623188406
MS,2017-03-01,19,12.578947368421053,28.439473684210526,339.607894736842,0.0
ES,2018-03-01,133,21.68421052631579,23.973909774436073,129.11857142857133,0.41353383458646614
PI,2017-11-01,31,26.774193548387096,35.405806451612904,87.34870967741936,0.4838709677419355
PE,2018-01-01,102,19.19607843137255,31.916960784313755,136.692450980392,0.0784313725490196
AC,2017-04-01,5,26.0,37.826,232.47600000000003,0.0
PI,2017-10-01,23,15.826086956521738,39.478260869565226,175.9582608695652,0.0
ES,2018-04-01,140,17.521428571428572,25.343428571428582,111.17549999999987,0.15714285714285714
BA,2017-10-01,158,18.082278481012658,27.17898734177214,147.594430379747,0.10126582278481013
RS,2017-08-01,296,15.111486486486486,21.652533783783806,113.14608108108146,0.07432432432432433
RR,2017-09-01,1,17.0,25.38,39.99,0.0
CE,2017-05-01,62,16.693548387096776,34.87741935483873,168.81080645161276,0.016129032258064516
AM,2017-07-01,5,18.6,49.160000000000004,141.11999999999998,0.0
MG,2017-03-01,343,11.746355685131196,22.293819241982547,119.08769679300332,0.023323615160349854
AC,2018-04-01,4,35.25,41.2975,105.745,0.25
RS,2017-07-01,242,13.289256198347108,23.83024793388432,119.10739669421518,0.024793388429752067
MT,2018-06-01,58,14.637931034482758,46.09068965517242,178.19465517241372,0.017241379310344827
RO,2017-08-01,14,17.5,41.363571428571426,159.77714285714288,0.0
PI,2017-05-01,23,14.434782608695652,38.27521739130434,252.0226086956521,0.0
SE,2017-09-01,16,20.375,45.387499999999996,175.95562500000003,0.125
SP,2017-07-01,1543,7.902138690861957,17.0517563188593,115.45407647439934,0.01814646791963707
CE,2018-07-01,84,12.630952380952381,36.84988095238095,160.5645238095237,0.011904761904761904
RR,2017-03-01,2,102.5,29.91,135.495,0.5
PA,2017-08-01,57,17.228070175438596,41.48596491228071,258.8491228070174,0.0
MT,2018-04-01,64,18.0625,34.18687499999999,177.41390624999994,0.015625
GO,2017-09-01,84,13.642857142857142,27.43547619047618,156.9492857142856,0.023809523809523808
SC,2017-06-01,109,14.44954128440367,24.2945871559633,118.11412844036685,0.03669724770642202
RJ,2018-01-01,850,18.275294117647057,23.614164705882338,137.96241176470565,0.13058823529411764
MA,2018-05-01,32,18.6875,47.0471875,221.37624999999994,0.0625
SC,2017-12-01,192,17.682291666666668,21.53734374999999,126.22338541666689,0.041666666666666664
ES,2018-01-01,145,16.53103448275862,23.67448275862068,138.58910344827586,0.09655172413793103
ES,2017-05-01,90,12.866666666666667,25.33499999999999,137.53922222222212,0.03333333333333333
AM,2018-03-01,8,39.125,57.62624999999999,121.645,0.25
PI,2018-03-01,34,22.147058823529413,47.10411764705882,192.86147058823525,0.29411764705882354
CE,2018-08-01,55,13.127272727272727,44.08236363636364,171.94618181818177,0.0
MA,2018-03-01,49,26.428571428571427,51.952857142857134,161.50530612244884,0.5102040816326531
PA,2017-09-01,41,24.073170731707318,36.910975609756115,151.66804878048774,0.12195121951219512
PI,2018-07-01,32,15.34375,48.05125000000001,216.67093749999992,0.0625
AC,2018-02-01,3,23.333333333333332,32.46333333333333,67.27666666666667,0.0
AL,2018-06-01,24,20.541666666666668,46.763749999999995,155.44166666666666,0.0
PB,2017-02-01,11,20.818181818181817,31.680000000000003,172.7118181818182,0.09090909090909091
PE,2018-08-01,83,12.19277108433735,42.1678313253012,140.34012048192764,0.04819277108433735
TO,2018-03-01,20,21.1,50.291,228.69050000000001,0.25
GO,2018-01-01,144,16.0,22.543125000000003,116.0645138888888,0.04861111111111111
RR,2018-06-01,5,18.2,62.08399999999999,266.39799999999997,0.0
CE,2017-02-01,13,21.46153846153846,29.882307692307695,161.15846153846158,0.07692307692307693
PE,2017-05-01,63,15.333333333333334,38.28428571428573,159.02888888888884,0.015873015873015872
SC,2017-10-01,174,12.816091954022989,21.558678160919523,120.81925287356323,0.04597701149425287
RJ,2018-04-01,807,14.195786864931847,25.548166047087904,147.5283023543988,0.048327137546468404
TO,2017-09-01,16,19.375,44.161875000000016,230.820625,0.0
RO,2017-11-01,17,17.058823529411764,70.9005882352941,344.24470588235295,0.0
TO,2017-08-01,15,14.066666666666666,25.730000000000004,142.17133333333334,0.0
SE,2018-03-01,17,25.647058823529413,52.00588235294118,148.73058823529414,0.6470588235294118
PE,2018-07-01,136,13.095588235294118,42.81022058823528,179.11058823529424,0.058823529411764705
DF,2018-06-01,147,9.054421768707483,24.688095238095247,130.9307482993197,0.006802721088435374
RS,2018-04-01,345,13.295652173913043,24.96266666666664,145.4071014492756,0.034782608695652174
AL,2017-10-01,28,20.321428571428573,35.615,190.87000000000003,0.07142857142857142
PR,2018-06-01,306,8.794117647058824,26.262091503267957,137.9472549019611,0.0
MG,2016-10-01,35,19.914285714285715,18.927142857142847,122.14142857142856,0.0
RR,2017-07-01,1,8.0,45.11,179.9,0.0
AL,2018-02-01,27,27.333333333333332,40.288148148148146,170.1137037037037,0.37037037037037035
MS,2018-02-01,64,21.234375,23.952656250000004,134.26859374999992,0.203125
SE,2018-07-01,26,14.461538461538462,45.83384615384615,166.12884615384615,0.07692307692307693
MS,2017-10-01,33,13.545454545454545,31.331212121212122,189.93454545454543,0.06060606060606061
SP,2017-09-01,1576,8.310279187817258,17.332271573603983,134.16960659898308,0.031091370558375634
AC,2017-05-01,8,20.0,34.6675,261.79875,0.0
SE,2017-01-01,4,13.25,29.495000000000005,65.95,0.0
BA,2018-02-01,208,23.216346153846153,28.89865384615384,151.84144230769277,0.19230769230769232
AM,2017-10-01,3,19.333333333333332,31.22666666666667,23.626666666666665,0.0
CE,2017-10-01,63,19.49206349206349,36.27888888888889,191.3177777777777,0.047619047619047616
GO,2017-05-01,83,16.06024096385542,28.48638554216867,198.5684337349396,0.03614457831325301
RO,2017-06-01,10,17.9,51.013999999999996,180.092,0.0
SE,2018-01-01,19,19.31578947368421,34.26157894736842,159.91052631578947,0.05263157894736842
SE,2017-07-01,13,18.846153846153847,30.853846153846153,105.54538461538462,0.0
MT,2017-06-01,24,16.708333333333332,23.345,177.56791666666663,0.041666666666666664
BA,2017-06-01,103,18.320388349514563,26.827669902912614,195.2395145631069,0.07766990291262135
RJ,2018-05-01,816,13.16299019607843,23.611703431372476,152.08590686274485,0.06862745098039216
PI,2017-03-01,13,47.0,40.78846153846154,162.03846153846155,0.23076923076923078
RR,2018-02-01,3,47.666666666666664,35.21333333333334,43.330000000000005,0.3333333333333333
PA,2017-06-01,36,19.47222222222222,30.94083333333333,152.67999999999995,0.05555555555555555
PA,2017-11-01,69,26.3768115942029,39.21739130434784,169.08014492753614,0.14492753623188406
MT,2018-08-01,39,11.487179487179487,28.54871794871795,118.44205128205122,0.0
RN,2017-12-01,30,16.8,31.001666666666665,105.61499999999997,0.06666666666666667
CE,2017-06-01,44,16.613636363636363,30.08818181818182,217.27727272727267,0.0
PE,2017-09-01,74,16.35135135135135,34.053783783783786,175.8056756756755,0.08108108108108109
RN,2017-09-01,23,21.434782608695652,30.42695652173913,144.34956521739133,0.13043478260869565
PE,2016-10-01,6,18.0,49.05833333333334,208.26666666666668,0.0
PR,2018-05-01,308,12.227272727272727,25.45782467532464,149.84766233766277,0.07467532467532467
AP,2018-04-01,5,27.6,44.019999999999996,164.54000000000002,0.0
DF,2017-12-01,129,15.255813953488373,22.767209302325575,130.4626356589146,0.046511627906976744
PB,2017-06-01,22,19.954545454545453,53.684999999999995,260.5418181818182,0.09090909090909091
MG,2017-04-01,266,11.88345864661654,21.36372180451129,147.46003759398533,0.02631578947368421
GO,2017-08-01,89,13.382022471910112,27.62292134831459,147.62842696629204,0.02247191011235955
GO,2017-02-01,24,22.416666666666668,25.645,93.33583333333331,0.041666666666666664
PB,2018-03-01,39,22.487179487179485,50.7751282051282,156.07692307692298,0.1282051282051282
ES,2017-07-01,81,14.679012345679013,21.25888888888888,88.36049382716035,0.037037037037037035
RS,2017-09-01,273,13.805860805860807,22.62025641025642,135.744578754579,0.018315018315018316
SP,2018-03-01,2971,10.337596768764726,17.528498821945465,126.90486031639209,0.09424436216762033
MS,2017-05-01,26,12.576923076923077,21.345000000000006,121.82115384615386,0.0
BA,2017-04-01,84,28.654761904761905,30.026785714285715,212.6565476190476,0.14285714285714285
DF,2017-07-01,75,12.64,26.795599999999993,144.3735999999999,0.0
TO,2018-06-01,18,14.11111111111111,52.08944444444444,224.9677777777778,0.0
PB,2017-07-01,26,26.653846153846153,49.460384615384626,163.11769230769232,0.19230769230769232
SP,2018-08-01,3164,6.11346396965866,17.73119152970925,122.54542035398283,0.09007585335018964
PB,2017-12-01,37,21.405405405405407,38.667297297297296,150.961081081081,0.10810810810810811
RO,2018-07-01,16,13.25,46.598749999999995,281.4875,0.0
MT,2017-10-01,50,16.14,42.87740000000001,214.98019999999988,0.02
MG,2017-12-01,669,14.56203288490284,21.376532137518737,136.2524663677131,0.0343796711509716
BA,2017-02-01,58,21.67241379310345,26.322241379310334,120.53068965517235,0.08620689655172414
TO,2017-12-01,14,18.857142857142858,31.082142857142852,104.07214285714285,0.0
MT,2018-03-01,52,23.134615384615383,33.99307692307691,157.9565384615384,0.25
MG,2017-09-01,493,10.036511156186613,22.97612576064913,145.0634077079109,0.010141987829614604
RR,2018-03-01,5,32.0,62.80400000000001,340.956,0.0
RJ,2017-03-01,370,10.778378378378378,21.447567567567585,144.25381081081105,0.043243243243243246
PB,2018-01-01,31,22.06451612903226,39.4267741935484,219.36419354838705,0.12903225806451613
SE,2017-02-01,12,18.833333333333332,45.26333333333332,155.15166666666667,0.0
PI,2018-04-01,34,16.264705882352942,58.59617647058824,304.85411764705873,0.11764705882352941
SP,2017-10-01,1723,8.182820661636681,17.46762623331395,127.57056297155957,0.03250145095763204
DF,2018-05-01,140,11.82857142857143,26.098285714285726,179.87571428571445,0.09285714285714286
GO,2017-11-01,153,18.431372549019606,25.734313725490182,135.46542483660144,0.13071895424836602
BA,2018-01-01,228,18.885964912280702,31.13793859649124,159.6278070175442,0.06578947368421052
MA,2018-04-01,46,19.956521739130434,45.51304347826087,172.38978260869553,0.13043478260869565
RS,2018-01-01,367,18.931880108991827,23.419591280653954,125.92449591280692,0.08174386920980926
MA,2017-11-01,53,30.32075471698113,45.20396226415095,185.63377358490558,0.5283018867924528
AC,2018-05-01,2,21.0,68.265,682.4449999999999,0.0
SP,2018-07-01,2712,6.636430678466077,18.480752212389415,118.42929941002905,0.03687315634218289
CE,2017-01-01,8,25.625,23.83,111.81124999999999,0.125
AM,2017-11-01,10,34.3,36.57599999999999,263.525,0.0
AL,2018-04-01,27,23.703703703703702,38.897407407407414,220.6011111111111,0.25925925925925924
SC,2017-07-01,152,13.0,21.664736842105256,121.82552631578942,0.046052631578947366
CE,2017-09-01,74,15.202702702702704,35.59554054054054,225.0395945945945,0.02702702702702703
